id;manufacturer;name;country;image;price;description;quantity;archive
1;Shoes incentivize;aggregate;Monaco;Industrial Villages;44542;Ghana;41573;false
2;Peso;Stravenue;Thụy Điển;Program content-based yellow;27989;Avon AGP;93773;true
3;utilize ROI;Product Specialist;Liban;synthesizing Dalasi;3455;Forks Dollar;1550;true
4;bandwidth;copying architect invoice;Costa Rica;tan;69164;Card Course Unbranded;30123;true
5;Fresh Technician;withdrawal;Na Uy;Rustic purple South;40477;Plastic Avon;39008;false
6;Small;Pre-emptive;Mozambique;Berkshire;61058;CSS;59461;true
7;Account Libyan HDD;collaborative;Guinée;Table;86118;interfaces 24/7 Oklahoma;83046;false
8;withdrawal;Versatile;Latvia;Flat override;43088;Buckinghamshire;29656;false
9;cross-platform initiatives;input navigating;Canada;program;76720;Agent withdrawal focus;92207;true
10;Account;zero Kids;Guinea Xích Đạo;Concrete;9515;compress;58952;true
