id;order_date;ship_date;dis_count;total;price;quantity;stautus
1;2021-12-17;2021-12-17;74058;74141;74309;90598;true
2;2021-12-17;2021-12-17;96959;63528;68713;57040;true
3;2021-12-18;2021-12-17;20742;55341;26312;92349;true
4;2021-12-17;2021-12-17;44495;39702;48734;77913;false
5;2021-12-17;2021-12-17;80077;29939;17935;87953;true
6;2021-12-17;2021-12-17;1403;87119;47168;59476;false
7;2021-12-18;2021-12-17;40818;60230;89808;73815;true
8;2021-12-17;2021-12-17;55341;81431;48005;12662;false
9;2021-12-17;2021-12-18;14754;44552;59066;95773;true
10;2021-12-17;2021-12-17;66445;7374;3657;80522;true
